Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
ANU.Fieldwork,,2019-01-13,518.0,663.0,925.0,1228.0,1572.0,1919.0,2192.0,2241.0,2417.0,2451.0,3265.0,2448.0,416.19905571324745
ANU.Fieldwork,,2019-01-13,1029.9183673469388,1006.2653061224491,1248.8367346938776,1517.4693877551024,1808.4693877551022,2136.7346938775513,2393.9591836734694,2375.8979591836737,2695.918367346939,2689.2040816326535,3677.510204081633,2910.714285714286,723.5580011894516
ANU.Fieldwork,,2019-01-13,519.3387096774194,584.0241935483871,823.241935483871,1075.7016129032259,1347.6774193548388,1303.7580645161288,1501.9354838709678,1420.0403225806451,2096.201612903226,1578.9919354838707,2269.161290322581,1745.3306451612905,1771.9587823988873
ANU.Fieldwork,,2019-01-13,629.0,795.0,1103.0,1472.0,1757.0,1740.0,1922.0,1976.0,2383.0,2186.0,3578.0,3005.0,180.36866464123818
ANU.Fieldwork,,2019-01-13,429.84782608695656,462.0869565217391,589.804347826087,717.804347826087,931.1956521739131,1090.9782608695652,1257.1304347826087,1194.4565217391305,1887.2173913043478,1389.3695652173913,1905.7391304347825,1369.2173913043478,1330.9699113227032
ANU.Fieldwork,,2019-01-13,410.262443438914,401.36199095022624,547.8597285067873,650.1628959276018,835.7058823529411,884.3800904977376,1018.0995475113124,952.8687782805429,1804.9049773755657,1077.7873303167419,1656.7556561085973,1275.3076923076922,3077.700805916676
ANU.Fieldwork,,2019-01-13,606.0,1237.0,1803.0,2619.0,2898.0,2989.0,3108.0,2997.0,2484.0,2947.0,2384.0,2057.0,378.7491604717457
ANU.Fieldwork,,2019-01-13,579.0,785.0,1114.0,1452.0,1847.0,2344.0,2587.0,2673.0,2885.0,2846.0,3760.0,3036.0,111.87951900830251
ANU.Fieldwork,,2019-01-13,1064.0,1185.0,1447.0,1750.0,2050.0,2344.0,2512.0,2584.0,3433.0,2696.0,3529.0,2952.0,90.46206559776525
ANU.Fieldwork,,2019-01-13,563.0,781.0,1083.0,1467.0,1846.0,2389.0,2660.0,2831.0,2899.0,2966.0,3999.0,3231.0,211.0485224921462
ANU.Fieldwork,,2019-01-13,649.0,1250.0,1817.0,2641.0,2905.0,3006.0,3131.0,3028.0,2435.0,2974.0,2406.0,2073.0,378.7491604717457
ANU.Fieldwork,,2019-01-13,641.0,787.0,1114.0,1450.0,1836.0,2330.0,2571.0,2672.0,2873.0,2831.0,3747.0,3027.0,111.87951900830251
ANU.Fieldwork,,2019-01-15,354.7145085803432,430.2667706708268,755.1435257410296,746.761310452418,901.5631825273011,1015.9516380655225,1093.0624024961,1116.6146645865833,1389.2854914196569,1217.5819032761312,1841.390015600624,1365.5460218408737,9034.527032073598
ANU.Fieldwork,,2019-01-15,464.64516129032256,536.741935483871,806.258064516129,978.6129032258065,1378.5806451612902,2104.967741935484,2387.258064516129,2518.4193548387093,2829.3870967741937,2738.0967741935483,3391.7096774193546,2268.064516129032,423.64634976422667
ANU.Fieldwork,,2019-01-15,582.5000000000001,770.1842105263157,1111.157894736842,1483.6052631578948,1872.5000000000002,2217.2368421052633,2466.5789473684213,2644.0526315789475,2824.342105263158,2849.157894736842,4851.605263157895,3743.736842105263,500.6150209839162
ANU.Fieldwork,,2019-01-15,532.0,833.0,1250.0,1634.0,1984.0,2247.0,2438.0,2529.0,2601.0,2650.0,3869.0,2851.0,305.7510838252227
ANU.Fieldwork,,2019-01-15,467.0,438.0,715.0,872.0,1192.0,1483.0,1626.0,1680.0,2439.0,1889.0,3084.0,2094.0,681.3404689651892
ANU.Fieldwork,,2019-01-15,483.99999999999994,640.0000000000001,947.0,1180.0,1564.0000000000002,2019.0,2308.5,2437.5,2709.5,2615.0,3828.5,2655.5000000000005,229.59368912392503
ANU.Fieldwork,,2019-01-15,430.78048780487813,454.19512195121956,728.5853658536586,955.0487804878051,1214.609756097561,1418.9268292682927,1597.4146341463418,1645.878048780488,2269.219512195122,1807.0243902439024,3023.951219512195,2086.9268292682927,582.3030239738774
Grinham,,2019-01-15,1167.0,618.0,648.0,613.0,691.0,720.0,750.0,656.0,1929.0,742.0,723.0,566.0,60.1533923821806
Grinham,,2019-01-15,2202.882352941176,2818.176470588235,2578.6470588235293,2254.0,2650.4117647058824,3526.2352941176473,3892.882352941176,4131.941176470589,4674.176470588235,4252.823529411765,3207.1176470588234,2204.1176470588234,271.74021367856636
Grinham,,2019-01-15,2810.3414634146343,3877.731707317073,3755.3902439024396,3583.0243902439024,4003.0487804878053,4435.536585365854,4573.024390243902,4854.926829268294,5133.829268292684,4663.365853658537,4102.707317073171,3393.878048780488,583.1789737171623
Grinham,,2019-01-15,410.9944444444445,461.46111111111117,800.1055555555556,818.5944444444444,1447.0611111111114,2169.4777777777776,2498.3111111111116,2488.4,2603.833333333334,2678.1333333333337,2236.8888888888896,1397.0777777777778,2558.92490620256
